"""Temptation"" ",38
(Continued on page ,38
(Montgomery split) ,38
(Open 8un Mat) ,38
4 Soils Bros ,38
8 (wva) ,38
Alberto ,38
"Alton, ",38
Beatrice Herford ,38
Bennett A Richards ,38
Bensee A Balrd ,38
Bobbe A Nelson ,38
Burns A Fulton ,38
Bush A Shapiro ,38
Chauncey Monroe Co ,38
Chester Kingston ,38
Claude Ranf ,38
Darrell A Conway ,38
"Dayton, O. ",38
Dorothy Toye ,38
Edgar Berger ,38
Fiddler A Shelton ,38
Francis McGinn Co ,38
Frank Farron ,38
Geo Yeoman ,38
Havlland A Thornton ,38
Hopkins A Axtell ,38
Howard Sisters ,38
Imperial Opera Co ,38
Indianapolis ,38
Karl ,38
Klrksmlth Sisters ,38
Lubin L ,38
Marie Dorr ,38
Martyn A Florence ,38
Mary Norman ,38
Nelson A Nelson ,38
Nevlns A Gordon ,38
Nina Payne ,38
Norfolk. Va. ,38
Omaha ,38
Regal A Bender ,38
Shoes a spe- ,38
Stan Stanley 8 ,38
Toots Paka ,38
V ,38
Weston A Young ,38
Winona Winters ,38
Wm Lytell Co ,38
in ,38
"""America First"" ",37
"""Neptune's Garden"" ",37
"""Night Boat"" ",37
(Augusta split) ,37
(Others to ,37
(one to fill) ,37
", B. C. ",37
4 Harmony Kings ,37
Anna Eva Fay ,37
"Any Ladies' Gown, ",37
Arthur Barrett ,37
Ash A Shaw ,37
"Atlanta, Ga. ",37
Barber A Jackson ,37
Billy K Wells ,37
Black ft White ,37
Clara Inge ,37
Cora Simpson Co ,37
Diving Nymphs ,37
Dolly A Mack ,37
Dunedln Duo ,37
El Rey Sisters ,37
Electrical Venus ,37
Force A Williams ,37
Frances Dyer ,37
Frank Carmen ,37
Gallagher A Martin ,37
Gertrude Hoffman ,37
Julia Ring Co ,37
Lee Barth ,37
Long Tack Sam ,37
Margaret Young ,37
Marie Sparrow ,37
Marx Bros Co ,37
Maryland ,37
Maud Tiffany ,37
Nan Gray ,37
Nina Payne Co ,37
Pauline Saxon ,37
Pekinese Troupe ,37
Ray Cox ,37
Raymond Bond Co ,37
Reed Bros ,37
Ruth St Denis Co ,37
Ryan Richfield Co ,37
San Francisco ,37
Scamp A Scamp ,37
